group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,;-12,-8,-4,0,;0x402737,0x402771,0x4027ab,0x4027df,;Success;16;Success;16;16;0;16;16;4;
8;LSLSLSLS;VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,;-12,-12,-8,-8,-4,-4,0,0,;0x40272a,0x402731,0x402764,0x40276b,0x40279e,0x4027a5,0x4027d4,0x4027da,;Success;16;Success;32;16;16;16;16;1;
4;LLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,;-12,-8,-4,0,;0x402710,0x40274a,0x402784,0x4027be,;Success;16;Success;16;16;0;16;16;4;
8;LSLSLSLS;VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,;-12,-12,-8,-8,-4,-4,0,0,;0x402717,0x40271e,0x402751,0x402758,0x40278b,0x402792,0x4027c4,0x4027ca,;Success;16;Success;32;16;16;16;16;1;
4;LLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,;-12,-8,-4,0,;0x402724,0x40275e,0x402798,0x4027cf,;Success;16;Success;16;16;0;16;16;4;
8;LSLSLSLS;VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,VFMADD213SS,VMOVSS,;-12,-12,-8,-8,-4,-4,0,0,;0x40273d,0x402744,0x402777,0x40277e,0x4027b1,0x4027b8,0x4027e4,0x4027ea,;Success;16;Success;32;16;16;16;16;1;
