group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
4;LLLL;VGATHERQPS,VGATHERQPS,VGATHERQPS,VGATHERQPS,;0,4,8,12,;0x4032f7,0x403317,0x403355,0x4033a4,;Iteration not constant;0;Success;64;28;36;28;0;4;
4;LLLL;VGATHERQPS,VGATHERQPS,VGATHERQPS,VGATHERQPS,;0,4,8,12,;0x40332f,0x40336d,0x4033b4,0x4033cb,;Iteration not constant;0;Success;64;28;36;28;0;4;
14;SSSSSSLLLLLLLL;VMOVDQU,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVDQU,VPADDQ,;256,208,192,176,144,160,112,208,192,144,176,160,256,224,;0x4032e0,0x40331e,0x403340,0x40335c,0x403374,0x403388,0x4033d7,0x40341a,0x403428,0x403436,0x40346d,0x403480,0x4034f6,0x4034ff,;Not Analyzed;0;Success;272;160;112;176;0;1;
4;LLLL;VGATHERQPS,VGATHERQPS,VGATHERQPS,VGATHERQPS,;0,4,8,12,;0x403305,0x403339,0x403381,0x4033bb,;Iteration not constant;0;Success;64;28;36;28;0;4;
1;L;VBROADCASTSS,;48152,;0x4033eb,;RIP based value;0;Success;4;4;0;4;0;1;
