ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 5;nbody3DCX;;move_particles.extracted;Single;45.64;1.00;1.38;1.91;1.84;1;99.01;51.61;40.50;40.50;29.25;21.26;22.00
Loop 2;nbody3DCX;nbody.c:261-278;move_particles;Innermost;0.05;1.12;1.17;8.00;2.33;1;0.00;12.50;14.00;12.50;12.00;1.75;6.00
Loop 1;nbody3DCX;nbody.c:200-257;move_particles;Single;0.05;2.75;1.66;8.00;7.33;1;0.00;16.15;11.00;4.00;6.63;1.38;1.50
