group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
48;SSSLLSLLSLLSSSSLLSLLSLLSSSSLLSLLSLLSSSSLLSLLSLLS;VMOVSS,VMOVSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,VMOVSS,VADDSS,VMOVSS,;16,20,24,16,4,4,20,8,8,24,12,12,16,20,24,16,4,4,20,8,8,24,12,12,16,20,24,16,4,4,20,8,8,24,12,12,16,20,24,16,4,4,20,8,8,24,12,12,;0x1445,0x144f,0x145d,0x1480,0x148a,0x1490,0x1496,0x14a0,0x14a6,0x14ac,0x14b6,0x14bc,0x14e0,0x14ea,0x14f8,0x151b,0x1525,0x152b,0x1531,0x153b,0x1541,0x1547,0x1551,0x1557,0x157b,0x1585,0x1593,0x15b6,0x15c0,0x15c6,0x15cc,0x15d6,0x15dc,0x15e2,0x15ec,0x15f2,0x1616,0x1620,0x162e,0x1651,0x165b,0x1661,0x1667,0x1671,0x1677,0x167d,0x1687,0x168d,;Not mono block loop;0;Success;192;24;168;24;0;1;
12;LLLLLLLLLLLL;VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,VSUBSS,;0,4,8,0,4,8,0,4,8,0,4,8,;0x142c,0x1436,0x1440,0x14c7,0x14d1,0x14db,0x1562,0x156c,0x1576,0x15fd,0x1607,0x1611,;Not mono block loop;0;Success;48;12;36;12;0;3;
8;LLLLLLLL;VADDSS,VMOVSS,VADDSS,VMOVSS,VADDSS,VMOVSS,VADDSS,VMOVSS,;3257,3253,3102,3098,2947,2943,2792,2788,;0x146b,0x1473,0x1506,0x150e,0x15a1,0x15a9,0x163c,0x1644,;Not mono block loop;0;Success;32;32;0;473;0;1;
12;LLLLLLLLLLLL;VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,VMOVSS,;0,4,8,24,28,32,48,52,56,72,76,80,;0x1428,0x1431,0x143b,0x14c2,0x14cc,0x14d6,0x155d,0x1567,0x1571,0x15f8,0x1602,0x160c,;Not mono block loop;0;Success;48;48;0;84;0;3;
