ID;Module;Source Location;Source Function;Level;Coverage (% app. time);Speedup if no scalar integer;Speedup if FP arith vectorized;Speedup if fully vectorized;Speedup if FP only;Number of paths;Vectorization Ratio (%);Vectorization Efficiency (%);CQA cycles;CQA cycles if no scalar integer;CQA cycles if FP arith vectorized;CQA cycles if fully vectorized;CQA cycles if FP only
Loop 3;nbody3DIC;;move_particles;Single;34.84;1.03;1.00;1.01;1.03;1;99.30;90.93;40.50;39.50;40.50;40.00;39.50
Loop 4;nbody3DIC;;move_particles;Single;0.13;3.70;1.49;6.17;7.40;2;0.00;15.32;18.50;5.00;12.38;3.00;2.50
