function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;
7;nbody3DIC;move_particles;;40.19;0.43;;;;;;;"97.674418182764,0,2.3255818172359,0,0,0,0,0,0,0";move_particles;
1023;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_gather(barrier_type, kmp_info*, int, int, void (*)(void*, void*), void*);;21.03;0.22;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_;
1038;libiomp5.so;_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;;15.89;0.17;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2326__kmp_hyper_barrier_gatherE12barrier_typeP8kmp_infoiiPFvPvS3_ES3_..0;
11;ld-2.31.so;_dl_rtld_di_serinfo;;8.41;0.09;;;;;;;"0,0,0,0,100,0,0,0,0,0";_dl_rtld_di_serinfo;
1027;libiomp5.so;_INTERNAL8eaaea23::__kmp_hyper_barrier_release(barrier_type, kmp_info*, int, int, int, void*);;3.27;0.03;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN17_INTERNAL8eaaea2327__kmp_hyper_barrier_releaseE12barrier_typeP8kmp_infoiiiPv;
1065;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::notdone_check();;2.34;0.02;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE13notdone_checkEv;
1860;libiomp5.so;__kmp_fork_call;;1.87;0.02;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_fork_call;
1063;libiomp5.so;kmp_flag_native<unsigned long long, (flag_type)1, true>::done_check();;0.93;0.01;;;;;;;"0,0,100,0,0,0,0,0,0,0";_ZN15kmp_flag_nativeIyL9flag_type1ELb1EE10done_checkEv;
24624;libmkl_intel_lp64.so.2;_Init_MKL_Loader;;0.47;0;;;;;;;"0,0,0,100,0,0,0,0,0,0";_Init_MKL_Loader;
11490;libmkl_core.so.2;__sti__$E;;0.47;0;;;;;;;"0,0,0,100,0,0,0,0,0,0";__sti__$E;
2684;libiomp5.so;__kmp_elapsed;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_elapsed;
2085;libiomp5.so;__kmp_env_initialize(char const*);;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";_Z20__kmp_env_initializePKc;
1923;libiomp5.so;__kmpc_for_static_init_8u;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_for_static_init_8u;
1861;libiomp5.so;__kmp_allocate_team;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_allocate_team;
1859;libc-2.31.so;_dl_addr;;0.47;0;;;;;;;"0,0,0,0,100,0,0,0,0,0";_dl_addr;
1635;libiomp5.so;__kmp_acquire_ticket_lock;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_acquire_ticket_lock;
1154;libiomp5.so;__kmpc_end_reduce;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_end_reduce;
1153;libiomp5.so;__kmpc_reduce;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_reduce;
1114;libiomp5.so;__kmpc_single;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmpc_single;
1039;libiomp5.so;__kmp_barrier;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";__kmp_barrier;
5;libiomp5.so;frame_dummy;;0.47;0;;;;;;;"0,0,100,0,0,0,0,0,0,0";frame_dummy;
