block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
121;nbody3DIC;;34.84;0.37;0.26;0.33;0.39;3.6379046440125;0.040526621043682;8;
118;nbody3DIC;;1.18;0.01;0;0.01;0.01;0.44153422117233;0.0044320248998702;8;
110;nbody3DIC;;0.46;0;0;0.01;0.01;0.24703301489353;0.0024999990127981;4;
111;nbody3DIC;;0.2;0;0;0.01;0.01;0.38202849030495;0.0035355337895453;2;
124;nbody3DIC;;0.13;0;0;0;0;8.4293695579163e-08;0;2;
103;nbody3DIC;;0.13;0;0.01;0.01;0.01;0;0;1;
128;nbody3DIC;;0.07;0;0;0;0;0;0;1;
113;nbody3DIC;;0.07;0;0;0;0;0;0;1;
