group_size;pattern;opcodes;offsets;addresses;stride_status;stride;memory_status;accessed_memory;accessed_memory_nooverlap;accessed_memory_overlap;span;head;unroll_factor;
8;LLLLLLLL;VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VINSERTF128,VINSERTF128,VINSERTF128,VINSERTF128,;0,16,32,48,64,80,96,112,;0x402da8,0x402dad,0x402db3,0x402db9,0x402de5,0x402dec,0x402df3,0x402dfa,;Success;128;Success;128;128;0;128;128;4;
8;LLLLLLLL;VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VINSERTF128,VINSERTF128,VINSERTF128,VINSERTF128,;0,16,32,48,64,80,96,112,;0x402ce6,0x402cea,0x402cef,0x402cf4,0x402d00,0x402d07,0x402d13,0x402d25,;Not Analyzed;0;Success;128;128;0;128;0;4;
8;LLLLLLLL;VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VINSERTF128,VINSERTF128,VINSERTF128,VINSERTF128,;0,16,32,48,64,80,96,112,;0x402cd3,0x402cd8,0x402d36,0x402d3c,0x402d54,0x402d5b,0x402d89,0x402d90,;Success;128;Success;128;128;0;128;128;4;
13;LLLSSLLSLLLSS;VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VMOVUPS,VADDPS,VMOVUPS,VMOVUPS,VMOVUPS,VADDPS,VADDPS,VMOVUPS,VMOVUPS,;96,128,160,192,224,64,224,64,192,0,32,0,32,;0x402d1f,0x402d74,0x402e21,0x402e5a,0x402e63,0x402fa7,0x402fb1,0x402fba,0x402fca,0x402fe2,0x402fe7,0x402fed,0x402ff2,;Not Analyzed;0;Success;416;256;160;256;0;1;
10;LLLLLLLLLL;VMOVUPS,VMULPS,VFMSUB213PS,VBROADCASTSS,VMULPS,VFMSUB213PS,VFMSUB213PS,VMULPS,VFMSUB213PS,VMULPS,;53742,53744,53699,53797,53661,53620,53544,53568,53494,53518,;0x402e2a,0x402e88,0x402e94,0x402eaa,0x402edb,0x402ee3,0x402f2f,0x402f38,0x402f61,0x402f6a,;RIP based value;0;Success;292;240;52;307;0;1;
