block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;
165;nbody3DCX;;45.64;0.58;0.53;0.58;0.63;2.7431530952454;0.036620587110519;8;
154;nbody3DCX;;0.25;0;0.01;0.01;0.01;0.28720021247864;0.0035355337895453;2;
157;nbody3DCX;;0.2;0;0;0.01;0.01;0.22686620056629;0.0028867509681731;3;
164;nbody3DCX;;0.2;0;0.01;0.01;0.01;0.00223597465083;0;2;
162;nbody3DCX;;0.15;0;0;0;0;0.0031002038158476;0;3;
160;nbody3DCX;;0.05;0;0;0;0;0;0;1;
161;nbody3DCX;;0.05;0;0;0;0;0;0;1;
62;nbody3DCX;nbody.c:261-278;0.05;0;0;0;0;0;0;1;
51;nbody3DCX;nbody.c:200-257;0.05;0;0;0;0;0;0;1;
